run,best_weight_lb,best_objective_lb_equiv,best_violation,best_d1_in,best_d2_in,best_d3_in,gear_deflection_in_opt,gear_deflection_in_final,required_d1_in,required_d2_in,required_d3_in
1,17.34452134204694,17.48279933932116,0.0,1.533191803562054,1.8262232926807869,1.745544762584879,0.004999629763395736,0.0049857426547271835,1.5328078231053681,1.651692543058197,1.4942084936164375
2,17.35367019047772,17.49289209642967,0.0,1.534356126512933,1.8259842537219426,1.7463581815710227,0.004995497354514891,0.004981512779063887,1.5328078231053681,1.651692543058197,1.4942084936164375
3,17.352318134634952,17.492369997917006,0.0,1.5345828671782205,1.8259515399657595,1.7460989126611772,0.004997329449739272,0.004983365092693898,1.5328078231053681,1.651692543058197,1.4942084936164375
4,17.34759034362163,17.48519246630047,0.0,1.5331858472598034,1.8258206274943574,1.74636389309117,0.0049962421225289485,0.004982235112533925,1.5328078231053681,1.651692543058197,1.4942084936164375
5,17.3529861456377,17.49030422175379,0.0,1.5335113346783957,1.826249764774983,1.7464377723308568,0.0049937226125982385,0.004979758941855041,1.5328078231053681,1.651692543058197,1.4942084936164375
6,17.35742153110288,17.492926305006613,0.0,1.5329767435666921,1.8314875138343092,1.7417987460425501,0.0049991959359482405,0.004986245688521688,1.5328078231053681,1.651692543058197,1.4942084936164375
7,17.35822473738076,17.494852010671078,0.0,1.5335380260375846,1.8304560009993334,1.7426899792318022,0.004998203192824825,0.0049850568737929354,1.5328078231053681,1.651692543058197,1.4942084936164375
8,17.35033715790674,17.48715118354262,0.0,1.5329971029251104,1.8289797296471226,1.7435086072555632,0.004999812314337021,0.004986422931172626,1.5328078231053681,1.651692543058197,1.4942084936164375
9,17.35362834685987,17.491089355382186,0.0,1.5336146842674714,1.8265579349694283,1.746143618971597,0.004994160583619293,0.004980258899275985,1.5328078231053681,1.651692543058197,1.4942084936164375
10,17.349402719451493,17.487415908558102,0.0,1.533462636446712,1.8272765796539114,1.744927813601171,0.004998631576580901,0.004984921190896566,1.5328078231053681,1.651692543058197,1.4942084936164375
11,17.36014793719047,17.497907745267554,0.0,1.5341560818396924,1.830679333599325,1.7423768681921892,0.004999199371925557,0.004986108469006824,1.5328078231053681,1.651692543058197,1.4942084936164375
12,17.343460967738704,17.482029380813906,0.0,1.5332512196643122,1.8252240000516224,1.7464219614406895,0.004998708016773814,0.004984627601432376,1.5328078231053681,1.651692543058197,1.4942084936164375
13,17.34967589635406,17.487513041352898,0.0,1.5334480042589245,1.8261470170378808,1.7461527715967695,0.004996054431779463,0.004982104494483563,1.5328078231053681,1.651692543058197,1.4942084936164375
14,17.34840428109199,17.486109090104208,0.0,1.5332630547684472,1.826926303345163,1.7452712457906498,0.004998064450101911,0.004984282536705931,1.5328078231053681,1.651692543058197,1.4942084936164375
15,17.34642647279224,17.484737201227663,0.0,1.5333735011924579,1.8259658761531499,1.7459634197671672,0.004998141520437326,0.004984187713696939,1.5328078231053681,1.651692543058197,1.4942084936164375
16,17.34476764330198,17.4826549004939,0.0,1.533056398482551,1.8260983583982426,1.7457785043393597,0.004998709677348695,0.004984786828780962,1.5328078231053681,1.651692543058197,1.4942084936164375
17,17.352200942651784,17.48900258761068,0.0,1.5331301027149995,1.8295726819088163,1.7430563927068716,0.004999966781337703,0.004986686067526424,1.5328078231053681,1.651692543058197,1.4942084936164375
18,17.34563714796576,17.485283058126605,0.0,1.533873906877892,1.8252812617478342,1.7463139512795292,0.004999131779459072,0.004985069351040665,1.5328078231053681,1.651692543058197,1.4942084936164375
19,17.356423188363465,17.491858371365574,0.0,1.5328997000090332,1.8304162699787727,1.7428364406539416,0.004997434794338474,0.004984268920214923,1.5328078231053681,1.651692543058197,1.4942084936164375
20,17.348705751910874,17.48591010923049,0.0,1.5330853473082824,1.8268703752169915,1.7454622487665312,0.004997091730450515,0.004983285706912269,1.5328078231053681,1.651692543058197,1.4942084936164375
21,17.348477553006962,17.486850001725085,0.0,1.5335815371290953,1.8256319063417066,1.7464668503385627,0.004996473708656175,0.004982436903668511,1.5328078231053681,1.651692543058197,1.4942084936164375
22,17.364774703884475,17.499755002585957,0.0,1.5333729675937569,1.8317781558652266,1.7422321250401038,0.0049949961440571185,0.0049820402319105915,1.5328078231053681,1.651692543058197,1.4942084936164375
23,17.348644983997254,17.486307970478734,0.0,1.5332960133680495,1.8259414084605494,1.746315238356575,0.00499598177583396,0.0049819932711897,1.5328078231053681,1.651692543058197,1.4942084936164375
24,17.35870439390638,17.493721321500928,0.0,1.5328606516906076,1.8322196587836654,1.7412554131603497,0.0049993314549994575,0.0049865129211892935,1.5328078231053681,1.651692543058197,1.4942084936164375
25,17.35121123796995,17.492206071308885,0.0,1.5348867102477883,1.8255760896615445,1.7461888497494094,0.004998533659411723,0.004984519040343187,1.5328078231053681,1.651692543058197,1.4942084936164375
26,17.351530642792152,17.488863611120713,0.0,1.5333804431052636,1.8267260811832593,1.7458212567166544,0.0049954495599353575,0.004981595488427144,1.5328078231053681,1.651692543058197,1.4942084936164375
27,17.35590507869399,17.492059200519915,0.0,1.533278368960128,1.8263289893500905,1.746853053468835,0.004990663649581492,0.0049766710528316264,1.5328078231053681,1.651692543058197,1.4942084936164375
28,17.349443337064645,17.486135698980885,0.0,1.5328985666500485,1.8281418457085614,1.744323994743837,0.00499846060931727,0.0049849018456470644,1.5328078231053681,1.651692543058197,1.4942084936164375
29,17.35676144871851,17.491839163042773,0.0,1.5329044542559378,1.826508495592371,1.746972387210902,0.004989041443483444,0.004975057616798763,1.5328078231053681,1.651692543058197,1.4942084936164375
30,17.34782484890153,17.484972647332494,0.0,1.5329573414630635,1.8278593784822514,1.7443805889614596,0.004999428582579608,0.0049858327118506695,1.5328078231053681,1.651692543058197,1.4942084936164375
31,17.35443700437817,17.490973330563268,0.0,1.5332386400374647,1.8286845087771268,1.7442189273946507,0.004996578992374129,0.004983092357215842,1.5328078231053681,1.651692543058197,1.4942084936164375
32,17.343705129059586,17.48186848910202,0.0,1.533093777079242,1.8256349744794413,1.7461067025732797,0.00499878970336114,0.004984784339862797,1.5328078231053681,1.651692543058197,1.4942084936164375
33,17.347308528133325,17.484708007778803,0.0,1.533066778394043,1.8262335864024746,1.7459585172131458,0.004996901111312237,0.004982977532202972,1.5328078231053681,1.651692543058197,1.4942084936164375
34,17.349390593644202,17.48742229521662,0.0,1.5334708327545261,1.8272233857017388,1.7449776335700258,0.004998560257161087,0.004984839325720853,1.5328078231053681,1.651692543058197,1.4942084936164375
35,17.349955071453206,17.486363161752116,0.0,1.5328687514607608,1.826737355871363,1.7458763391525791,0.004995040757281438,0.0049811816093116145,1.5328078231053681,1.651692543058197,1.4942084936164375
36,17.34693501943043,17.484021926545285,0.0,1.5328792516878598,1.827156207763046,1.7450437269780277,0.004998451348987805,0.004984715166808821,1.5328078231053681,1.651692543058197,1.4942084936164375
37,17.35617930322266,17.491825170453215,0.0,1.5329386034670776,1.831220087688948,1.741939848759034,0.004999525330461406,0.004986531958586726,1.5328078231053681,1.651692543058197,1.4942084936164375
38,17.35210685856812,17.49100349875089,0.0,1.5340898126023048,1.8260347679604358,1.7462446445276398,0.004995992097046702,0.004982022796867101,1.5328078231053681,1.651692543058197,1.4942084936164375
