iteration,best_penalized_fitness,best_objective_lb_equiv,best_violation,mean_penalized_fitness,feasible_count,c_mean,best_d1_in,best_d2_in,best_d3_in
1,18.832208572157782,18.832208572157782,0.0,277123.54150777805,6,0.32266666666666666,1.5690219860417962,1.9589637951044112,1.7532986626845315
2,18.494506127077965,18.494506127077965,0.0,41117.40554163638,18,0.31955555555555554,1.6163222073056887,1.9128175100562872,1.7452418727264356
3,17.978693871361365,17.978693871361365,0.0,5940.433831103546,30,0.3164444444444444,1.5790685491317977,1.8696181090633637,1.745104428511524
4,17.770211661294056,17.770211661294056,0.0,62.59114026315099,35,0.3133333333333333,1.5853046662924988,1.847986427529977,1.731996795525391
5,17.66255642735476,17.66255642735476,0.0,24.223542553322584,39,0.3102222222222222,1.5455186298337813,1.8594073858585858,1.7276378678784452
6,17.66255642735476,17.66255642735476,0.0,21.367986336102497,39,0.3071111111111111,1.5455186298337813,1.8594073858585858,1.7276378678784452
7,17.66255642735476,17.66255642735476,0.0,18.391325690330564,40,0.304,1.5455186298337813,1.8594073858585858,1.7276378678784452
8,17.66255642735476,17.66255642735476,0.0,18.31939520342091,40,0.30088888888888893,1.5455186298337813,1.8594073858585858,1.7276378678784452
9,17.66255642735476,17.66255642735476,0.0,18.209286138358742,40,0.29777777777777775,1.5455186298337813,1.8594073858585858,1.7276378678784452
10,17.66255642735476,17.66255642735476,0.0,18.137685226057542,40,0.2946666666666666,1.5455186298337813,1.8594073858585858,1.7276378678784452
11,17.66255642735476,17.66255642735476,0.0,18.10056382083843,40,0.2915555555555555,1.5455186298337813,1.8594073858585858,1.7276378678784452
12,17.66255642735476,17.66255642735476,0.0,18.0139757298955,40,0.28844444444444434,1.5455186298337813,1.8594073858585858,1.7276378678784452
13,17.66255642735476,17.66255642735476,0.0,17.980950515497245,40,0.2853333333333333,1.5455186298337813,1.8594073858585858,1.7276378678784452
